"t","valor esperado de Haar de la pureza de Choi"
0,0.9999999999999998
0.5,0.7866053277224518
1,0.5844220896118257
1.5,0.4155246443382482
2,0.3472075092332323
2.5,0.31634061395058205
3,0.30720530111166044
3.5,0.30975075086535275
4,0.31148816665151247
4.5,0.3111038036147141
5,0.3119325035661927
5.5,0.31356615251647735
6,0.3130292464879976
6.5,0.31098594380692407
7,0.30887899710126754
7.5,0.3072701859999505
8,0.3068502087139783
8.5,0.30820208595371257
9,0.3115371118139636
9.5,0.315241552896114
10,0.3152719094975729
10.5,0.3144573031589617
11,0.3136461780823266
11.5,0.31018922872577026
12,0.31091560513008876
12.5,0.3144402827755686
13,0.3238257616509177
13.5,0.3349340728005221
14,0.3441856062454757
14.5,0.3313715458672111
15,0.3272995607915703
15.5,0.3198416122014555
16,0.3132773827825275
16.5,0.3131697234797973
17,0.3160988991218906
17.5,0.31494325563105696
18,0.3124120991697923
18.5,0.3114760337272653
19,0.3104187075975675
19.5,0.30714139447798544
20,0.30793742400511376
20.5,0.30738062300772323
21,0.3099440896735098
21.5,0.30763961279815094
22,0.3111801986049375
22.5,0.3143562572336125
23,0.3146339654930977
23.5,0.31435098062581
24,0.30959424108530964
24.5,0.3065614500954835
25,0.3070164078244406
25.5,0.31173368808771235
26,0.3131902274978865
26.5,0.31349758252187665
27,0.3096603005922463
27.5,0.3073949811257503
28,0.30815215258866635
28.5,0.3107500589167726
29,0.315808261310495
29.5,0.32021491068367036
30,0.3169183439585159
30.5,0.31626522091738785
31,0.3137871930793097
31.5,0.31317290870746395
32,0.31041612842605554
32.5,0.3111215241947835
33,0.3132007316832557
33.5,0.31597041727031133
34,0.31766996929186
34.5,0.3157881221880491
35,0.319278231983926
35.5,0.3204650079803193
36,0.32158530338337704
36.5,0.31718175077420496
37,0.3132554364319925
37.5,0.31400135520662503
38,0.3090471079708663
38.5,0.30894154844947525
39,0.30708133754498534
39.5,0.3085053181878187
40,0.3104154555413231
40.5,0.3130222525276992
41,0.3125714249627275
41.5,0.3106469151609623
42,0.308064500133879
42.5,0.30960452990028287
43,0.31521448628457377
43.5,0.32239233868051254
44,0.3231268857469246
44.5,0.32431442593396287
45,0.3191366106687398
45.5,0.31388028482468
46,0.3080143338864159
46.5,0.30769169594051693
47,0.3055518456268304
47.5,0.30521183463438556
48,0.30779339495529057
48.5,0.31068350572367565
49,0.3167012828831782
49.5,0.3257244315632015
50,0.335782572626373
50.5,0.33068375032421293
51,0.31962837650119263
51.5,0.3140826552873849
52,0.3110589684078306
52.5,0.3117318195885003
53,0.3112356400796485
53.5,0.3143940099973309
54,0.3149031882249318
54.5,0.3160115268746672
55,0.3152332806518784
55.5,0.3172637459202585
56,0.3160674783670544
56.5,0.313677792296663
57,0.3118183496535516
57.5,0.3098950195851914
58,0.31059917323578023
58.5,0.3136885178085157
59,0.3151509186259437
59.5,0.31517677172173253
60,0.3089146687763954
60.5,0.3059763824803695
61,0.3065695161507623
61.5,0.30997266755027475
62,0.3161602790572261
62.5,0.316188848166883
63,0.31600904696939625
63.5,0.31327729420211253
64,0.31091424518131405
64.5,0.31571866531766524
65,0.32519560605344694
65.5,0.3292689475780367
66,0.3230774245428665
66.5,0.31635620340912296
67,0.3097660480374833
67.5,0.30690318947388845
68,0.3066378986926727
68.5,0.30673545716567896
69,0.3092719881417449
69.5,0.3108740562732022
70,0.3149224647812319
70.5,0.3237679572037643
71,0.3332472121620679
71.5,0.3409928278202865
72,0.33801012123872476
72.5,0.3255253230375017
73,0.31725354097537156
73.5,0.31386571059500035
74,0.3125163740697337
74.5,0.31466314266944867
75,0.3195954774423746
75.5,0.32629319080386987
76,0.3336938405861884
76.5,0.32749677097456753
77,0.3216777845900134
77.5,0.3182241348481595
78,0.3169118651549919
78.5,0.31898482431669545
79,0.31933043071103734
79.5,0.32067134453495455
80,0.31937201102805524
80.5,0.31562187423354626
81,0.31243938641033747
81.5,0.3143522833180202
82,0.3147460703707727
82.5,0.315103719662118
83,0.3148448109866565
83.5,0.3175922326144519
84,0.3216643119127017
84.5,0.3240040452457094
85,0.33458489119163365
85.5,0.35598799921028906
86,0.37413318580946614
86.5,0.36045112680574
87,0.3472230281395083
87.5,0.3311929641528233
88,0.31921790897675595
88.5,0.3161499257456825
89,0.31850250796583274
89.5,0.3192834395419185
90,0.3201693632849585
90.5,0.3146828465695528
91,0.31130081722133074
91.5,0.3125342276509632
92,0.31816054464085475
92.5,0.3194316301118161
93,0.3181133294034589
93.5,0.3153872511937779
94,0.3139292153691347
94.5,0.314249642288451
95,0.3123604562899076
95.5,0.31055902786944967
96,0.3096648412909464
96.5,0.30757311846832114
97,0.31031500860427613
97.5,0.31208836671378754
98,0.31524666847445304
98.5,0.3206380339458515
99,0.3267954914598471
99.5,0.3335016802467749
100,0.334613224544557
