"t","valor esperado de Haar de la pureza de Choi"
0,0.9999999999999998
0.5,0.7859709569280802
1,0.5973561897192219
1.5,0.46863511145335945
2,0.4136608823034402
2.5,0.39999566480844795
3,0.3930845083771228
3.5,0.380264220566313
4,0.39248464650742354
4.5,0.3866260073614277
5,0.37597979528456676
5.5,0.3716142833986563
6,0.3602434479917478
6.5,0.3563181365275778
7,0.3537464613808938
7.5,0.35200495456320935
8,0.35757665069247346
8.5,0.36048604895066455
9,0.3588178517274716
9.5,0.3626236191480456
10,0.3564871189561958
10.5,0.3549954172323077
11,0.35392056002816763
11.5,0.3498582779952192
12,0.35763990288023945
12.5,0.36302268478493305
13,0.35837254198740076
13.5,0.3624506934854141
14,0.3606930019259315
14.5,0.35836694335082087
15,0.35918686242564934
15.5,0.350867888818328
16,0.3523400738364547
16.5,0.3572722396345617
17,0.35375908513986365
17.5,0.3609795784090748
18,0.36348038948487826
18.5,0.3547324078554949
19,0.35457899633532847
19.5,0.35116660743859096
20,0.3432549647499499
20.5,0.34285775871253044
21,0.3450226366235884
21.5,0.35211189189194125
22,0.3603749599406676
22.5,0.3521718116229666
23,0.3523136064204272
23.5,0.3582167054823069
24,0.35727070819065043
24.5,0.35586943578138175
25,0.35359551770614805
25.5,0.35978856901342054
26,0.3758803255807464
26.5,0.36533134646120613
27,0.35295803286835353
27.5,0.348569869933426
28,0.34337771351845836
28.5,0.34988898359420334
29,0.3491673081806257
29.5,0.3398569096730819
30,0.34275094407681383
30.5,0.34365051258472007
31,0.35081853816294883
31.5,0.36285453146410074
32,0.3577653415042681
32.5,0.3483688202018038
33,0.35130599318029787
33.5,0.35940552652655694
34,0.38148316521342374
34.5,0.3812166822832161
35,0.3627105924493597
35.5,0.36350048692679965
36,0.3627376435563767
36.5,0.36945821317798744
37,0.37763345039107477
37.5,0.3762477248077972
38,0.3871124816009023
38.5,0.3826339316922148
39,0.3645515941876459
39.5,0.35350023928331425
40,0.345496088275248
40.5,0.3416312146231818
41,0.34469024770891765
41.5,0.3402659013242209
42,0.3411120772502174
42.5,0.34573763020075077
43,0.3499514847294106
43.5,0.3610118623756551
44,0.3656706006434977
44.5,0.3534346696437556
45,0.34782655699943127
45.5,0.3432656906524446
46,0.3398717229447472
46.5,0.3459716648872646
47,0.34766833976417577
47.5,0.34706529076693005
48,0.35143455565047
48.5,0.34962360639298773
49,0.3552078617806019
49.5,0.3613880139467456
50,0.35592965724498105
50.5,0.36436832889268184
51,0.3654726890583118
51.5,0.3655900766894884
52,0.37449387989131033
52.5,0.3630926873966293
53,0.3546940693754099
53.5,0.35340910692578786
54,0.34833981437733313
54.5,0.35045085937340437
55,0.3613015895011945
55.5,0.3688407236000615
56,0.38659563466853053
56.5,0.38226834588262726
57,0.3687522997029046
57.5,0.3725976018379702
58,0.37170113840938357
58.5,0.3719589167508779
59,0.3744812918114273
59.5,0.3718911739494839
60,0.3835845609046258
60.5,0.3743414108335363
61,0.3567194699148315
61.5,0.3498023562336738
62,0.3525856072662775
62.5,0.35849067582340316
63,0.36536761192316225
63.5,0.36000941846563067
64,0.3551241566734767
64.5,0.35208396146118126
65,0.3508123078596271
65.5,0.35925562766790503
66,0.3602174780903177
66.5,0.3497568213018082
67,0.3470554414206193
67.5,0.3511591373940157
68,0.3593331287551264
68.5,0.37297168181324875
69,0.3721043706686272
69.5,0.3573687996435394
70,0.35986483241803724
70.5,0.3600677360324414
71,0.3649399531372157
71.5,0.364457921329166
72,0.3596951020810865
72.5,0.36493195578803406
73,0.3684244594442536
73.5,0.3646781451217628
74,0.37086052289274324
74.5,0.366466575430644
75,0.3666245970945443
75.5,0.37329739863899375
76,0.35993665273268116
76.5,0.3506261150794391
77,0.34403233752846735
77.5,0.3459028483745934
78,0.3529137199205228
78.5,0.34685264128990684
79,0.34338972654735445
79.5,0.3460072066541747
80,0.3456739252257276
80.5,0.3446815277919981
81,0.34972724722303605
81.5,0.3518300439977351
82,0.3632425605549148
82.5,0.35885285306225734
83,0.3455734396430163
83.5,0.3498961197256589
84,0.3540872154687117
84.5,0.3542825513455251
85,0.35773644565467744
85.5,0.34918354024947473
86,0.3509695692358304
86.5,0.3523597648652231
87,0.3423098554692273
87.5,0.3450825954834922
88,0.3391815101332857
88.5,0.33546356445318054
89,0.34026885849573996
89.5,0.34080152165551547
90,0.3404605127215108
90.5,0.3420943427927626
91,0.33992137577494064
91.5,0.35102397537518326
92,0.35253658278112615
92.5,0.34424169912115987
93,0.34306691977229054
93.5,0.3445261868542506
94,0.3493067316344647
94.5,0.3559568454041392
95,0.34749518825104286
95.5,0.3413817305154845
96,0.3440707680507668
96.5,0.3509266555906672
97,0.36266020914348285
97.5,0.3680832993725777
98,0.35475897792979016
98.5,0.34846712372750743
99,0.34582410814858916
99.5,0.34938522633729413
100,0.36400397159619174
