"t","valor esperado de Haar de la pureza de Choi"
0,1
0.5,0.7863430528287254
1,0.5911134848255494
1.5,0.4484574564976591
2,0.4061814459129487
2.5,0.3970800228450912
3,0.4165511483864369
3.5,0.45573569339711734
4,0.47754941208375634
4.5,0.4780066351552174
5,0.4661798379702199
5.5,0.4318203225312025
6,0.4099421242314213
6.5,0.40770187090390914
7,0.42099201264468833
7.5,0.4179268201390762
8,0.41729914259621503
8.5,0.42875905538693415
9,0.44690737645345335
9.5,0.4666861429449761
10,0.4998802139891788
10.5,0.4713017523977254
11,0.4334581117770017
11.5,0.41085622435769786
12,0.4241405021353663
12.5,0.4388593973729659
13,0.48152810216412967
13.5,0.5594616323160738
14,0.6688148475673692
14.5,0.5863874920371392
15,0.5059397988494664
15.5,0.4559881209476896
16,0.4571684579435826
16.5,0.46279203515519557
17,0.4465418893018727
17.5,0.4577764276929048
18,0.47928496084143063
18.5,0.5095905824466838
19,0.5289120355351725
19.5,0.5041024103925857
20,0.500014808645105
20.5,0.4712294313026717
21,0.4543688542915429
21.5,0.4255947475982027
22,0.4089925054196115
22.5,0.4211618117039466
23,0.44636876087740623
23.5,0.47643229244262664
24,0.4654317015240139
24.5,0.44740698496333114
25,0.4439000083570798
25.5,0.42976246865402257
26,0.42157233146938644
26.5,0.4158703570180842
27,0.41954111062474403
27.5,0.43042603033074245
28,0.42404686956881676
28.5,0.4117432295724067
29,0.41391099378269314
29.5,0.4216233431539541
30,0.4342750839986821
30.5,0.4340451880268176
31,0.4144699797305379
31.5,0.4153983715760543
32,0.46252336936107824
32.5,0.503036060518017
33,0.5293311198018573
33.5,0.5063241255948883
34,0.5137996870632358
34.5,0.4979332738159453
35,0.48330771152650426
35.5,0.4655439515226458
36,0.4227427278999759
36.5,0.445292155034067
37,0.5155952379908249
37.5,0.6194699070031779
38,0.5413995777485222
38.5,0.4856030432541599
39,0.4623372752841928
39.5,0.4429433776615345
40,0.41706753308054867
40.5,0.40936191030803826
41,0.4204463190836067
41.5,0.43137757045176056
42,0.4102761651062762
42.5,0.40149071554209514
43,0.4077838363397518
43.5,0.4088554476644457
44,0.4118904568654417
44.5,0.40763132955333253
45,0.4013058781402904
45.5,0.40105297030612846
46,0.4294696659306754
46.5,0.4623394318887962
47,0.48293292632958984
47.5,0.48877562998435115
48,0.48918056073401156
48.5,0.48262086863032727
49,0.4860827466786911
49.5,0.49237960099984734
50,0.45023830226585737
50.5,0.44903433743061777
51,0.5018060813914934
51.5,0.6020230997956011
52,0.5543412795834001
52.5,0.49914395877942613
53,0.47727553616135177
53.5,0.4810382941591041
54,0.47179782464360265
54.5,0.4539103227314796
55,0.45350543820592937
55.5,0.44558305404181675
56,0.4108304620533564
56.5,0.4126124389813769
57,0.43237269277084356
57.5,0.4573276548883747
58,0.4523418149080397
58.5,0.43187232684772225
59,0.42465300051117727
59.5,0.4206603280255783
60,0.43199957718746496
60.5,0.45958555785500993
61,0.483474504433956
61.5,0.5015221494942492
62,0.4910863243600033
62.5,0.4742452493464498
63,0.460253543825362
63.5,0.44140603546582513
64,0.4198352319288427
64.5,0.41429802622876555
65,0.42522444409942917
65.5,0.4423428764163227
66,0.4354581550779313
66.5,0.4345286869898571
67,0.463447408719426
67.5,0.5011117912093441
68,0.5074100551966865
68.5,0.46033179501072563
69,0.43140082106177813
69.5,0.43700190322853105
70,0.4263863243037753
70.5,0.45473051927957575
71,0.509016263879429
71.5,0.5821616765781337
72,0.5905614088367195
72.5,0.5496770650726878
73,0.5145523218532007
73.5,0.44392670374471055
74,0.41815176351082134
74.5,0.4235272797872592
75,0.44384540733370526
75.5,0.42459132388560317
76,0.4309578280647892
76.5,0.455129319622953
77,0.4653660102001927
77.5,0.42490721271140186
78,0.4103739591240226
78.5,0.4098033914295076
79,0.4287733535773596
79.5,0.42956766799288626
80,0.4156372150153326
80.5,0.41354865924183526
81,0.43166829131050294
81.5,0.47392797555829463
82,0.5000941096604604
82.5,0.4764058707974577
83,0.44856657779705184
83.5,0.45051171052435895
84,0.43240985430992046
84.5,0.4202131052988265
85,0.4275903522806904
85.5,0.48405979514886854
86,0.5668724956629834
86.5,0.6403453851265706
87,0.6956112823517672
87.5,0.5754496779314291
88,0.47929902033551
88.5,0.42347485311476896
89,0.42784862379609956
89.5,0.419280029420547
90,0.42984275806359634
90.5,0.46446733074360597
91,0.48103746774669304
91.5,0.4444521204880354
92,0.42378986797320883
92.5,0.41377878144848845
93,0.4301518405349465
93.5,0.4213170153950937
94,0.41718436638229944
94.5,0.42860555463022704
95,0.4444446441907459
95.5,0.4648469928814864
96,0.48610194212218655
96.5,0.5054712787403484
97,0.5209535991665948
97.5,0.4833755679587596
98,0.45604388146775715
98.5,0.43568063571819077
99,0.4265109578364855
99.5,0.4321641541374565
100,0.4694928776954585
