hz,J,promedio temporal de 0 a 100 de la pureza del caometro
0.,0.,1.
0.,0.1,0.741331
0.,0.2,0.731665
0.,0.3,0.716491
0.,0.4,0.725429
0.,0.5,0.720565
0.,0.6,0.72363
0.,0.7,0.7058
0.,0.8,0.710974
0.,0.9,0.697781
0.,1.,0.699726
0.,1.1,0.697747
0.,1.2,0.693172
0.,1.3,0.693925
0.,1.4,0.689119
0.,1.5,0.686595
0.,1.6,0.684771
0.,1.7,0.684877
0.,1.8,0.687988
0.,1.9,0.688236
0.,2.,0.687137
0.,2.1,0.689977
0.,2.2,0.687821
0.,2.3,0.685905
0.,2.4,0.68377
0.,2.5,0.690357
0.,2.6,0.693272
0.,2.7,0.690202
0.,2.8,0.689262
0.,2.9,0.704955
0.,3.,0.690094
0.1,0.,1.
0.1,0.1,0.748396
0.1,0.2,0.720883
0.1,0.3,0.702716
0.1,0.4,0.705033
0.1,0.5,0.701848
0.1,0.6,0.65361
0.1,0.7,0.647576
0.1,0.8,0.634375
0.1,0.9,0.621718
0.1,1.,0.629547
0.1,1.1,0.63324
0.1,1.2,0.623369
0.1,1.3,0.622608
0.1,1.4,0.618783
0.1,1.5,0.625189
0.1,1.6,0.623894
0.1,1.7,0.620689
0.1,1.8,0.634077
0.1,1.9,0.638558
0.1,2.,0.624785
0.1,2.1,0.636646
0.1,2.2,0.639535
0.1,2.3,0.642924
0.1,2.4,0.663966
0.1,2.5,0.658816
0.1,2.6,0.660262
0.1,2.7,0.664389
0.1,2.8,0.674141
0.1,2.9,0.668546
0.1,3.,0.663594
0.2,0.,1.
0.2,0.1,0.72669
0.2,0.2,0.70153
0.2,0.3,0.695299
0.2,0.4,0.673739
0.2,0.5,0.668189
0.2,0.6,0.638505
0.2,0.7,0.634414
0.2,0.8,0.624554
0.2,0.9,0.627346
0.2,1.,0.628985
0.2,1.1,0.615793
0.2,1.2,0.630338
0.2,1.3,0.617543
0.2,1.4,0.618481
0.2,1.5,0.620632
0.2,1.6,0.620909
0.2,1.7,0.620428
0.2,1.8,0.621817
0.2,1.9,0.632353
0.2,2.,0.642236
0.2,2.1,0.651662
0.2,2.2,0.648803
0.2,2.3,0.640834
0.2,2.4,0.668407
0.2,2.5,0.647109
0.2,2.6,0.653498
0.2,2.7,0.662364
0.2,2.8,0.673723
0.2,2.9,0.701446
0.2,3.,0.678126
0.3,0.,1.
0.3,0.1,0.725674
0.3,0.2,0.676763
0.3,0.3,0.668567
0.3,0.4,0.665278
0.3,0.5,0.651964
0.3,0.6,0.640726
0.3,0.7,0.628169
0.3,0.8,0.636973
0.3,0.9,0.626292
0.3,1.,0.619448
0.3,1.1,0.618031
0.3,1.2,0.617945
0.3,1.3,0.615482
0.3,1.4,0.613053
0.3,1.5,0.62318
0.3,1.6,0.619999
0.3,1.7,0.633815
0.3,1.8,0.632784
0.3,1.9,0.638349
0.3,2.,0.636599
0.3,2.1,0.652532
0.3,2.2,0.647426
0.3,2.3,0.66398
0.3,2.4,0.65334
0.3,2.5,0.657037
0.3,2.6,0.668843
0.3,2.7,0.667265
0.3,2.8,0.685751
0.3,2.9,0.670741
0.3,3.,0.662142
0.4,0.,1.
0.4,0.1,0.693199
0.4,0.2,0.675478
0.4,0.3,0.657314
0.4,0.4,0.648291
0.4,0.5,0.639758
0.4,0.6,0.636577
0.4,0.7,0.631674
0.4,0.8,0.614339
0.4,0.9,0.634832
0.4,1.,0.633453
0.4,1.1,0.619271
0.4,1.2,0.613177
0.4,1.3,0.619158
0.4,1.4,0.62365
0.4,1.5,0.619207
0.4,1.6,0.624728
0.4,1.7,0.639313
0.4,1.8,0.639522
0.4,1.9,0.629989
0.4,2.,0.644848
0.4,2.1,0.63725
0.4,2.2,0.64764
0.4,2.3,0.659776
0.4,2.4,0.640382
0.4,2.5,0.665946
0.4,2.6,0.675037
0.4,2.7,0.67759
0.4,2.8,0.665975
0.4,2.9,0.666853
0.4,3.,0.693838
0.5,0.,1.
0.5,0.1,0.677574
0.5,0.2,0.666563
0.5,0.3,0.660576
0.5,0.4,0.653398
0.5,0.5,0.648685
0.5,0.6,0.636953
0.5,0.7,0.626199
0.5,0.8,0.627579
0.5,0.9,0.631187
0.5,1.,0.628602
0.5,1.1,0.616975
0.5,1.2,0.621358
0.5,1.3,0.621493
0.5,1.4,0.620772
0.5,1.5,0.620116
0.5,1.6,0.639284
0.5,1.7,0.633282
0.5,1.8,0.629855
0.5,1.9,0.644811
0.5,2.,0.639454
0.5,2.1,0.654731
0.5,2.2,0.661413
0.5,2.3,0.657582
0.5,2.4,0.650709
0.5,2.5,0.650064
0.5,2.6,0.667563
0.5,2.7,0.649415
0.5,2.8,0.653946
0.5,2.9,0.664189
0.5,3.,0.669096
0.6,0.,1.
0.6,0.1,0.695591
0.6,0.2,0.7001
0.6,0.3,0.661367
0.6,0.4,0.648502
0.6,0.5,0.64365
0.6,0.6,0.631667
0.6,0.7,0.625883
0.6,0.8,0.628676
0.6,0.9,0.614612
0.6,1.,0.617166
0.6,1.1,0.623587
0.6,1.2,0.616963
0.6,1.3,0.616234
0.6,1.4,0.621637
0.6,1.5,0.621474
0.6,1.6,0.61891
0.6,1.7,0.642389
0.6,1.8,0.63483
0.6,1.9,0.6323
0.6,2.,0.639465
0.6,2.1,0.633566
0.6,2.2,0.63877
0.6,2.3,0.655146
0.6,2.4,0.660821
0.6,2.5,0.656995
0.6,2.6,0.661001
0.6,2.7,0.652683
0.6,2.8,0.659438
0.6,2.9,0.664975
0.6,3.,0.66332
0.7,0.,1.
0.7,0.1,0.763076
0.7,0.2,0.715029
0.7,0.3,0.660898
0.7,0.4,0.651189
0.7,0.5,0.649771
0.7,0.6,0.6341
