"hz","J","pureza del caometro (indicador de Wisniacki)"
0.,0.,1.
0.,0.1,0.691724
0.,0.2,0.663664
0.,0.3,0.666844
0.,0.4,0.663004
0.,0.5,0.658211
0.,0.6,0.657212
0.,0.7,0.654938
0.,0.8,0.646908
0.,0.9,0.645719
0.,1.,0.638118
0.,1.1,0.6404
0.,1.2,0.633941
0.,1.3,0.635638
0.,1.4,0.633125
0.,1.5,0.63699
0.,1.6,0.62922
0.,1.7,0.637631
0.,1.8,0.640472
0.,1.9,0.634436
0.,2.,0.638142
0.,2.1,0.641517
0.,2.2,0.636205
0.,2.3,0.633533
0.,2.4,0.638208
0.,2.5,0.647924
0.,2.6,0.65923
0.,2.7,0.679557
0.,2.8,0.675567
0.,2.9,0.686897
0.,3.,0.699053
0.1,0.,1.
0.1,0.1,0.688509
0.1,0.2,0.667475
0.1,0.3,0.663565
0.1,0.4,0.648208
0.1,0.5,0.621737
0.1,0.6,0.585707
0.1,0.7,0.570942
0.1,0.8,0.57014
0.1,0.9,0.555861
0.1,1.,0.560998
0.1,1.1,0.554913
0.1,1.2,0.557288
0.1,1.3,0.556683
0.1,1.4,0.558539
0.1,1.5,0.560608
0.1,1.6,0.573119
0.1,1.7,0.572727
0.1,1.8,0.575944
0.1,1.9,0.590513
0.1,2.,0.598677
0.1,2.1,0.609212
0.1,2.2,0.593257
0.1,2.3,0.615846
0.1,2.4,0.618955
0.1,2.5,0.616098
0.1,2.6,0.624304
0.1,2.7,0.628292
0.1,2.8,0.621795
0.1,2.9,0.659882
0.1,3.,0.67581
0.2,0.,1.
0.2,0.1,0.682281
0.2,0.2,0.647572
0.2,0.3,0.622835
0.2,0.4,0.608489
0.2,0.5,0.582805
0.2,0.6,0.574396
0.2,0.7,0.56737
0.2,0.8,0.552742
0.2,0.9,0.544139
0.2,1.,0.554865
0.2,1.1,0.544852
0.2,1.2,0.544429
0.2,1.3,0.549627
0.2,1.4,0.547103
0.2,1.5,0.564346
0.2,1.6,0.556969
0.2,1.7,0.566191
0.2,1.8,0.577594
0.2,1.9,0.572506
0.2,2.,0.588361
0.2,2.1,0.590655
0.2,2.2,0.611298
0.2,2.3,0.612115
0.2,2.4,0.593149
0.2,2.5,0.620288
0.2,2.6,0.633406
0.2,2.7,0.65786
0.2,2.8,0.667532
0.2,2.9,0.655391
0.2,3.,0.670069
0.3,0.,1.
0.3,0.1,0.671298
0.3,0.2,0.622779
0.3,0.3,0.603477
0.3,0.4,0.591132
0.3,0.5,0.572604
0.3,0.6,0.556002
0.3,0.7,0.554489
0.3,0.8,0.548154
0.3,0.9,0.546255
0.3,1.,0.545162
0.3,1.1,0.550102
0.3,1.2,0.542385
0.3,1.3,0.542786
0.3,1.4,0.553392
0.3,1.5,0.550235
0.3,1.6,0.558736
0.3,1.7,0.562324
0.3,1.8,0.572299
0.3,1.9,0.587284
0.3,2.,0.598502
0.3,2.1,0.604284
0.3,2.2,0.599783
0.3,2.3,0.597798
0.3,2.4,0.626743
0.3,2.5,0.639316
0.3,2.6,0.64574
0.3,2.7,0.640202
0.3,2.8,0.614808
0.3,2.9,0.661488
0.3,3.,0.691878
0.4,0.,1.
0.4,0.1,0.644987
0.4,0.2,0.603189
0.4,0.3,0.592599
0.4,0.4,0.569734
0.4,0.5,0.568993
0.4,0.6,0.567921
0.4,0.7,0.552919
0.4,0.8,0.552413
0.4,0.9,0.552026
0.4,1.,0.548119
0.4,1.1,0.543916
0.4,1.2,0.546382
0.4,1.3,0.540798
0.4,1.4,0.545475
0.4,1.5,0.557073
0.4,1.6,0.55811
0.4,1.7,0.56862
0.4,1.8,0.563755
0.4,1.9,0.574806
0.4,2.,0.569054
0.4,2.1,0.579791
0.4,2.2,0.59758
0.4,2.3,0.602913
0.4,2.4,0.610216
0.4,2.5,0.622902
0.4,2.6,0.639186
0.4,2.7,0.639329
0.4,2.8,0.647135
0.4,2.9,0.648573
0.4,3.,0.666217
0.5,0.,1.
0.5,0.1,0.632548
0.5,0.2,0.594305
0.5,0.3,0.576907
0.5,0.4,0.57656
0.5,0.5,0.574033
0.5,0.6,0.565681
