"t","valor esperado de Haar de la pureza de Choi"
0.,1.0000000000000004
0.5,0.9970999146376323
1.,0.9904473557262637
1.5,0.9792723255777703
2.,0.9633984276477932
2.5,0.944840623099392
3.,0.922305274592028
3.5,0.8975422391787208
4.,0.8712194819976314
4.5,0.843138698153353
5.,0.8152481231854442
5.5,0.7874576842312374
6.,0.7607197389034865
6.5,0.7360123892965738
7.,0.7135581464494037
7.5,0.6942007011956817
8.,0.678341214691574
8.5,0.666399712121871
9.,0.6584776967977986
9.5,0.6550106814669495
10.,0.6558073480023081
10.5,0.6607269947214149
11.,0.6699501161066688
11.5,0.682609910806299
12.,0.6987274121459599
12.5,0.7177277208253028
13.,0.7387368943197723
13.5,0.7616299262054721
14.,0.7853357372692071
14.5,0.8093050682026719
15.,0.8329939228168436
15.5,0.8554840210381816
16.,0.8763550592598005
16.5,0.8949525171424871
17.,0.910727209265312
17.5,0.9233119702832464
18.,0.9323527090008086
18.5,0.9375805844592091
19.,0.9388640928879877
19.5,0.9361969923222562
20.,0.929638690463791
20.5,0.9193529504162303
21.,0.9056588850763606
21.5,0.888911454960647
22.,0.8694909984552384
22.5,0.8481091136514212
23.,0.8251216383930589
23.5,0.8012177670784054
24.,0.7772247245427997
24.5,0.7533762448364987
25.,0.7307334616404679
25.5,0.7096891613138442
26.,0.6906361073305517
26.5,0.6745453527390027
27.,0.6612995450980148
27.5,0.6515544237393724
28.,0.6455844969648932
28.5,0.6432253000725645
29.,0.6448718310422522
29.5,0.6502245338577632
30.,0.6591747156762788
30.5,0.6714315800240971
31.,0.686724591579015
31.5,0.7044439205610447
32.,0.7241343126073785
32.5,0.7454973153870753
33.,0.7672807116183246
33.5,0.7896340284897284
34.,0.8114841002145976
34.5,0.8319539871375399
35.,0.8514700151674264
35.5,0.8681604972605037
36.,0.8825340515111022
36.5,0.8941743335295029
37.,0.9017437487300308
37.5,0.9066217847678959
38.,0.9073440482088596
38.5,0.9043227915356001
39.,0.8983489071948527
39.5,0.888165116758329
40.,0.8754505403893124
40.5,0.8598826227966065
41.,0.8415995563006626
41.5,0.822049535660698
42.,0.8006755010176351
42.5,0.7786910743985327
43.,0.7566310538302706
43.5,0.7345974207744155
44.,0.7136964010125715
44.5,0.6940503805233779
45.,0.6762114424727363
45.5,0.6606564467252155
46.,0.6476142044835287
46.5,0.6373582891922696
47.,0.6300736923637361
47.5,0.6258961641716241
48.,0.624652501929653
48.5,0.6265056123124517
49.,0.631124004625637
49.5,0.6382548341705803
50.,0.64783485246668
50.5,0.6591873788826939
51.,0.6721742503134149
51.5,0.6863154348880467
52.,0.701004336567254
52.5,0.7160681485936715
53.,0.7308133289985719
53.5,0.7449023286386165
54.,0.7580034478331055
54.5,0.7695675189573515
55.,0.7794711937800289
55.5,0.7873207866779167
56.,0.7929039921946993
56.5,0.7961986275757488
57.,0.7969479348853289
57.5,0.7952985304253505
58.,0.7912326607100639
58.5,0.7848004676496474
59.,0.7763769355771364
59.5,0.7659491027935011
60.,0.7539517016713961
60.5,0.7407098956678927
61.,0.726369901382667
61.5,0.7115978867753098
62.,0.696502302412146
62.5,0.6815334951120716
63.,0.6672048809971999
63.5,0.6535581147989791
64.,0.6412029580628258
64.5,0.6302658813803527
65.,0.6209353749568833
65.5,0.6135890271362578
66.,0.6081449321409719
66.5,0.6048225679583981
67.,0.6036018308959736
67.5,0.6044400140016507
68.,0.6072536114124782
68.5,0.6119074419253179
69.,0.6182614809459736
69.5,0.625932857159917
70.,0.6349257662034193
70.5,0.6446947744863099
71.,0.6550239974411434
71.5,0.6658141469289938
72.,0.6762696267815119
72.5,0.6866266328527824
73.,0.6962887534638087
73.5,0.7048625373180113
74.,0.7126620153506318
74.5,0.7187588820286182
75.,0.7235303183634165
75.5,0.7268051553468894
76.,0.7280427717673887
76.5,0.7279691762946536
77.,0.7259469936752636
77.5,0.7222820701343617
78.,0.7173530008914368
78.5,0.710672338750136
79.,0.7030554206092641
79.5,0.6943583957298688
80.,0.6847182522666563
80.5,0.6747771409439084
81.,0.6642808117365295
81.5,0.6538062249112401
82.,0.6435417919574423
82.5,0.6335151403697548
83.,0.624222263192119
83.5,0.6156289483771331
84.,0.6079747637876063
84.5,0.6014354960053655
85.,0.5960226536324783
85.5,0.5918702874456412
86.,0.5889886331961508
86.5,0.587396079382399
87.,0.587013708059752
87.5,0.5878657548042499
88.,0.5897913191708584
88.5,0.5926768601500314
89.,0.5965000950992941
89.5,0.6009250216779556
90.,0.6059668182836833
90.5,0.6113914550481279
91.,0.6169243777449243
91.5,0.6226304942572662
92.,0.6280860338596815
92.5,0.6332787552208363
93.,0.6381100796579218
93.5,0.6422277333332989
94.,0.6458172581977335
94.5,0.6485663339616043
95.,0.6504395755495218
95.5,0.6515605725718487
96.,0.6516243510179192
96.5,0.6508879355722914
97.,0.6492620470465318
97.5,0.6467082586691243
98.,0.6435148820209303
98.5,0.6395106220372258
99.,0.6349439336201201
99.5,0.6299207456406196
100.,0.6244184936483391
