"t","valor esperado de Haar de la pureza de Choi"
0,0.9999999999999999
1,0.5831167692545518
2,0.3459901291166817
3,0.2949046499410536
4,0.28504331509364766
5,0.28636108127281645
6,0.2867506326783661
7,0.2862001965556016
8,0.28975843391557254
9,0.29077504857038117
10,0.2871856227565044
11,0.2851348540408385
12,0.28556621871639387
13,0.2866824531933036
14,0.2908856521151074
15,0.29695912631348903
16,0.29028241844757224
17,0.2869209382924638
18,0.2861520549462361
19,0.2881751021727026
20,0.2869173710286962
21,0.2873778557035559
22,0.2865632643179299
23,0.2849432571552754
24,0.28598604615801665
25,0.29084218592972455
26,0.2903527821568728
27,0.28423108301682753
28,0.2849419047031979
29,0.28995676946782806
30,0.2869543650578771
31,0.2884468887811505
32,0.28912599883223944
33,0.2859227140220371
34,0.2838316982031548
35,0.28337399906631305
36,0.28564388118183315
37,0.2861318712248323
38,0.28865291140333205
39,0.291025786154426
40,0.29282960293774746
41,0.29316958562306306
42,0.2895246408317278
43,0.2846767185000114
44,0.2834274480980966
45,0.2887646924426971
46,0.2871949445988876
47,0.28332569917097916
48,0.2841377564481016
49,0.2858183792984775
50,0.2916489200614297
