"t","valor esperado de Haar de la pureza de Choi"
0.,0.9999999999999998
0.5,0.940646597038535
1.,0.795300679838937
1.5,0.6326858561560275
2.,0.5055534812255599
2.5,0.42896016605698284
3.,0.3917942756882603
3.5,0.375647193616171
4.,0.3664599426952193
4.5,0.3575680249217168
5.,0.34756693364611707
5.5,0.337671154569119
6.,0.33013815904777494
6.5,0.32667825705786585
7.,0.3269835304583343
7.5,0.32851907388072943
8.,0.3280200919446096
8.5,0.3240674695751522
9.,0.3184718230173844
9.5,0.3143439699144459
10.,0.31274095400807433
10.5,0.31214095499399164
11.,0.3110326274789221
11.5,0.30965095580078716
12.,0.30894189084573154
12.5,0.3090440529767077
13.,0.30937599869453525
13.5,0.30950846652870284
14.,0.3093844543659425
14.5,0.3089791388718571
15.,0.3081246449103629
15.5,0.30664189930044666
16.,0.30456518427460166
16.5,0.3022827624310671
17.,0.30043854548013793
17.5,0.2995799552800535
18.,0.29981902813594885
18.5,0.30088136447531905
19.,0.30250785937566294
19.5,0.3045796631453128
20.,0.3067138907615675
20.5,0.30815184644091204
21.,0.3084593298776762
21.5,0.30804837498701254
22.,0.30758089349435835
22.5,0.30703643435220385
23.,0.30574935982275675
23.5,0.3033673326546537
24.,0.3004744472899914
24.5,0.29800644550790223
25.,0.2962594816890518
25.5,0.2950180997479953
26.,0.294470293689331
26.5,0.29510960754650595
27.,0.29678875300857843
27.5,0.2988440913219318
28.,0.30104696092501754
28.5,0.30342683049795327
29.,0.30546475505979787
29.5,0.30654130309862243
30.,0.30684852598362156
30.5,0.3070691496282564
31.,0.3076374855279165
31.5,0.3087619059023082
32.,0.3104624325251216
32.5,0.3121233208087237
33.,0.3125124284455739
33.5,0.3106665157257883
34.,0.3067091475504345
34.5,0.3017724131687347
35.,0.29719340387229
35.5,0.29380100669822024
36.,0.2918655933877685
36.5,0.29138210647630014
37.,0.29208634172201287
37.5,0.29340236473767567
38.,0.29478442779861713
38.5,0.29607502697970933
39.,0.2973094243338319
39.5,0.29833324064880096
40.,0.29884776754264586
40.5,0.29872369894607376
41.,0.2981803641660768
41.5,0.29776057629530084
42.,0.2980436867144439
42.5,0.29916030430391716
43.,0.3006094239010482
43.5,0.30166216890341485
44.,0.30185239090335925
44.5,0.3010638859471654
45.,0.2994664996090908
45.5,0.29756394670584924
46.,0.2959950455020948
46.5,0.29499382791397427
47.,0.2942652908789896
47.5,0.2935980242762708
48.,0.29322904882714584
48.5,0.29332164453335174
49.,0.2935401696922971
49.5,0.2935044266823674
50.,0.293263419873943
50.5,0.2930691790204633
51.,0.2930518664677876
51.5,0.29323813576931856
52.,0.29360533519192233
52.5,0.2940780477086534
53.,0.29457769791286764
53.5,0.29501565963982257
54.,0.29525839375514495
54.5,0.2952245167297849
55.,0.29495751223134964
55.5,0.2945342741523968
56.,0.29403221964345794
56.5,0.2935715674597048
57.,0.29320569721147227
57.5,0.292874632460113
58.,0.29266263057869607
58.5,0.29291915703759314
59.,0.29389845450275703
59.5,0.29542413844399934
60.,0.2970442137202213
60.5,0.2983076215113849
61.,0.2988263881480011
61.5,0.29842520962786356
62.,0.2973792824075373
62.5,0.2962303947122404
63.,0.29531635788140465
63.5,0.29466933594390254
64.,0.29421278168935006
64.5,0.29378946754446045
65.,0.2931658693999988
65.5,0.2922535317776851
66.,0.29124908242717074
66.5,0.29047804418155077
67.,0.2901865563448056
67.5,0.2904805862691844
68.,0.2913184947210591
68.5,0.2924768794785109
69.,0.2936076687699557
69.5,0.2944369610730447
70.,0.2948984291273373
70.5,0.29506368352932766
71.,0.2950345331206996
71.5,0.2949099851589162
72.,0.2947229675691195
72.5,0.29440355519675687
73.,0.2938975986769873
73.5,0.29324120214172145
74.,0.2924687678144972
74.5,0.2915948446226823
75.,0.2906945187759389
75.5,0.28987792189529166
76.,0.28920659770620977
76.5,0.28862373383113105
77.,0.28793033661396616
77.5,0.28702272900747666
78.,0.2861731054784294
78.5,0.2857747965275892
79.,0.28590755379828015
79.5,0.2865088186158597
80.,0.2877186416276219
80.5,0.2895886509855836
81.,0.2916519865000412
81.5,0.293221183434621
82.,0.2940215048337998
82.5,0.2942678985027599
83.,0.2942849001424945
83.5,0.29427523536138556
84.,0.2942712279532004
84.5,0.2941206387851275
85.,0.29364478588551346
85.5,0.2928800970802401
86.,0.29208724255078683
86.5,0.29154375167543145
87.,0.2913111474324706
87.5,0.29107565118448286
88.,0.2902712964369507
88.5,0.28858747218198677
89.,0.28640489724093365
89.5,0.2846077141668737
90.,0.2839545014278799
90.5,0.2846404837923988
91.,0.2862677456218617
91.5,0.2880789619594662
92.,0.2893614125530386
92.5,0.28979909631598266
93.,0.28948479498639057
93.5,0.2887161311212226
94.,0.2878812152291742
94.5,0.28738969796182046
95.,0.2874719968242955
95.5,0.2879503880932652
96.,0.2882676619240945
96.5,0.287878336900498
97.,0.28671644911983457
97.5,0.28528648473709345
98.,0.28426612168168214
98.5,0.2840346015873253
99.,0.2846266363370819
99.5,0.28602841880885743
100.,0.2882238749477092
