"t","valor esperado de Haar de la pureza de Choi"
0.,1.
0.5,0.5138970857961385
1.,0.3318318883898971
1.5,0.3135748361692485
2.,0.31064565967667757
2.5,0.29744246679799724
3.,0.32037474104760394
3.5,0.409819163186663
4.,0.38704588115385125
4.5,0.32075852535363736
5.,0.3161129532065795
5.5,0.29582210833576356
6.,0.28833457350441505
6.5,0.28616176029957907
7.,0.28957178013714724
7.5,0.28801394093074206
8.,0.28945387978356474
8.5,0.2986459969105696
9.,0.29385910467866944
9.5,0.28902920726547526
10.,0.29914702484504635
10.5,0.30407178236841753
11.,0.2930137767495374
11.5,0.2884808393775472
12.,0.29395735243924603
12.5,0.2880018055720927
13.,0.28667556737435446
13.5,0.2920616997680352
14.,0.29531233476110597
14.5,0.2955782621291306
15.,0.29295095312417035
15.5,0.29345867589042274
16.,0.28787786671921844
16.5,0.2847649608924472
17.,0.2858650697109541
17.5,0.28443880302782243
18.,0.2846117148767169
18.5,0.2864132475157769
19.,0.2902016923555353
19.5,0.2923886335531436
20.,0.29253948872720426
20.5,0.2928052529219095
21.,0.29176123601408044
21.5,0.2873676349684975
22.,0.284707009241231
22.5,0.2900054481877428
23.,0.29776555011106043
23.5,0.3018923701131353
24.,0.30392878061084794
24.5,0.3088576530564038
25.,0.3042960365288224
25.5,0.29900166495301517
26.,0.2992488932633538
26.5,0.29660055252093964
27.,0.291078292869315
27.5,0.29015104020713134
28.,0.2942020135097936
28.5,0.29217542947264497
29.,0.29469675125442973
29.5,0.29826524292429774
30.,0.29162793749606875
30.5,0.2870616857752447
31.,0.28938555322589476
31.5,0.28675986224313427
32.,0.2836367057464077
32.5,0.2824548663970541
33.,0.28696471426118025
33.5,0.2910418580487716
34.,0.2867150831620412
34.5,0.2890824544004722
35.,0.2874245366510683
35.5,0.28702094057774713
36.,0.28716120872299694
36.5,0.28644028849011194
37.,0.2907733493885995
37.5,0.28624266458067527
38.,0.28610434947364727
38.5,0.28811737706766927
39.,0.2879177875564122
39.5,0.28734341517674195
40.,0.28677398476150595
40.5,0.2881587680332625
41.,0.2864301380997971
41.5,0.2840404486932439
42.,0.28652052198132977
42.5,0.2844606429319203
43.,0.281914439649637
43.5,0.2844323543847359
44.,0.2861737815349209
44.5,0.2860303230307213
45.,0.28259679739135746
45.5,0.28692528602503703
46.,0.28801641398611577
46.5,0.2893977456958996
47.,0.28539914574460507
47.5,0.28440780263953797
48.,0.2835556091887608
48.5,0.2844401460823199
49.,0.28658237297082145
49.5,0.2926033307909163
50.,0.29277337017953203
50.5,0.2925056774022395
51.,0.2843788543109552
51.5,0.2871526407365391
52.,0.293446550997734
52.5,0.2903814634264188
53.,0.28632849011609995
53.5,0.2884441558654664
54.,0.2892604952873461
54.5,0.28541155250517847
55.,0.2839922357837625
55.5,0.29067895945299205
56.,0.2891490863109881
56.5,0.28743617484385553
57.,0.290884654710315
57.5,0.28706216977592347
58.,0.28148632506293114
58.5,0.2834309071884691
59.,0.2904693901912835
59.5,0.2844630007318215
60.,0.28244255592123013
60.5,0.2837854438414542
61.,0.2839701916857773
61.5,0.28290372288562715
62.,0.28316646264234374
62.5,0.28484889789715584
63.,0.28297199798391215
63.5,0.2841929651130491
64.,0.2873190656700406
64.5,0.28451412652589836
65.,0.28317147476821464
65.5,0.28514218897294785
66.,0.28243800064697744
66.5,0.281329383848752
67.,0.28633931370140747
67.5,0.28606735674045647
68.,0.28371609531228115
68.5,0.28355754650732723
69.,0.2830587680640698
69.5,0.2831937957142979
70.,0.28539219954264894
70.5,0.28486716738251167
71.,0.2832995886637912
71.5,0.2839347925628689
72.,0.28353868833916385
72.5,0.28378451692436835
73.,0.2831094263781647
73.5,0.2871509139040253
74.,0.28488788271290905
74.5,0.2820514121673824
75.,0.28454593469092426
75.5,0.28903526766269994
76.,0.28733110841638587
76.5,0.2848127772468033
77.,0.29084627589363854
77.5,0.28654410875673164
78.,0.28390925579090165
78.5,0.28828869575838023
79.,0.28259628248889374
79.5,0.2834541119098506
80.,0.2851461540057674
80.5,0.29080417113719736
81.,0.2872925836258907
81.5,0.2836133233268604
82.,0.29004884383015
82.5,0.28497816360527817
83.,0.2808470506905809
83.5,0.28348927594635986
84.,0.2866554058752808
84.5,0.28616556030849105
85.,0.2841544391219766
85.5,0.2872258626404425
86.,0.28817604181351597
86.5,0.28242636012404015
87.,0.2828428749974772
87.5,0.28263703454736516
88.,0.2840431414563643
88.5,0.28716485883235865
89.,0.28649313641242535
89.5,0.29124442175271614
90.,0.28736210327355666
90.5,0.28278279638088977
91.,0.2820656638201404
91.5,0.2798796871347168
92.,0.2821307665215938
92.5,0.2873691694026067
93.,0.2882030666766062
93.5,0.2867290163971441
94.,0.28116683164018597
94.5,0.2824612460091134
95.,0.2824148675029997
95.5,0.2835658590703055
96.,0.2816746320640838
96.5,0.28349336563741245
97.,0.28508469841426826
97.5,0.28448320985386993
98.,0.28639633719229596
98.5,0.2830356096729418
99.,0.2833520308127359
99.5,0.282604517285881
100.,0.28109613198749056
