"t","valor esperado de Haar de la pureza de Choi"
0.,0.9999999999999998
0.5,0.9795970936483955
1.,0.9233837176446898
1.5,0.8451228669446171
2.,0.7639755272421429
2.5,0.6998093974088443
3.,0.6683345838999256
3.5,0.6772572187848673
4.,0.7243927298560648
4.5,0.7982007000948701
5.,0.8806103642438714
5.5,0.9514449623818769
6.,0.9933617144417276
6.5,0.9960979376213372
7.,0.9589837090572171
7.5,0.8911058863058373
8.,0.8090833276985638
8.5,0.7329980162191956
9.,0.681478289685887
9.5,0.6671379739672703
10.,0.6934880784872582
10.5,0.754077178667335
11.,0.8340709496646757
11.5,0.9138841264588347
12.,0.973975659788749
12.5,0.9996330465297634
13.,0.9845744635750323
13.5,0.9324867772183147
14.,0.8561228697013048
14.5,0.7741792888685484
15.,0.7067186811901958
15.5,0.6702577561968525
16.,0.6737234199461029
16.5,0.7162671570828817
17.,0.7874727769914014
17.5,0.8699066605352442
18.,0.9433861180406806
18.5,0.9899208156247097
19.,0.9981174363644448
19.5,0.9659691616356565
20.,0.901347010302231
20.5,0.8200727387869089
21.,0.7420451232959545
21.5,0.6863680454097788
22.,0.6666731956008938
22.5,0.6877825599844147
23.,0.7445278299444349
23.5,0.8230157843342647
24.,0.904029834556167
24.5,0.9677349156520431
25.,0.9985338019772456
25.5,0.9888858520106532
26.,0.9411532203881057
26.5,0.867022520064529
27.,0.7846435318776925
27.5,0.7141855052033881
28.,0.6728990222810717
28.5,0.6708924540465574
29.,0.7086570783851677
29.5,0.7769467981714919
30.,0.8590419083145988
30.5,0.9348426626843939
31.,0.9857903929674227
31.5,0.9994113179261872
32.,0.9723705600844175
32.5,0.9112886400411777
33.,0.8311205421294883
33.5,0.7514942126782915
34.,0.6919049542025648
34.5,0.6669422954252096
35.,0.682717965818083
35.5,0.7353695310732704
36.,0.8120060517287677
36.5,0.8938642347360123
37.,0.9609023419908918
37.5,0.9967071068016852
38.,0.992512274007882
38.5,0.9493448849773135
39.,0.8777738220599871
39.5,0.7953221775861481
40.,0.7221769897246213
40.5,0.6762467514915187
41.,0.6687767870793626
41.5,0.7015960043003655
42.,0.7666691141686097
42.5,0.8480639498843029
43.,0.9258522169201063
43.5,0.9809886345449981
44.,0.9999738847746152
44.5,0.9781597162189979
45.,0.9208869981362862
45.5,0.842178089369001
46.,0.7613036758525344
46.5,0.6980646346094945
47.,0.6679440884748449
47.5,0.6783165976331194
48.,0.7266426100884684
48.5,0.801090232563217
49.,0.8834320906239415
49.5,0.9535080256446824
50.,0.9941610047486862
50.5,0.9954377608290812
51.,0.9570256994689614
51.5,0.8883294329567588
52.,0.8061682032007133
52.5,0.7306579447181669
53.,0.6802862022979792
53.5,0.6673857352605442
54.,0.6951150278561433
54.5,0.756684982164485
55.,0.8370211260436624
55.5,0.9164543696510837
56.,0.9755366846204322
56.5,0.9998026596794409
57.,0.9833111378281977
57.5,0.9300998187778186
58.,0.8531966892414666
58.5,0.7714303174200482
59.,0.7048199628373573
59.5,0.6696741634125677
60.,0.6745978365974747
60.5,0.7183854954773081
61.,0.7903163940102915
61.5,0.8727793395577644
62.,0.9455845270539337
62.5,0.9909067074300563
63.,0.9976494302637575
63.5,0.9641618418446672
64.,0.8986428717382551
64.5,0.8171338488805375
65.,0.7395910247936357
65.5,0.6849995872145571
66.,0.6667254240056084
66.5,0.6892426876540616
67.,0.7470383667017526
67.5,0.8259620632230302
68.,0.9066905037493436
68.5,0.9694585505370579
69.,0.998898396620379
69.5,0.9878021409275832
70.,0.9388865338477138
70.5,0.8641278219853594
71.,0.781829545305651
71.5,0.7121411921925234
72.,0.6721249019543518
72.5,0.6715780580583537
73.,0.7106345469621167
73.5,0.7797319780393295
74.,0.8619528903051333
74.5,0.937166736882297
75.,0.9869585449541265
75.5,0.9991375433546218
76.,0.9707218885179241
76.5,0.9086687237786653
77.,0.8281708280447938
77.5,0.7489368936542221
78.,0.6903661511258328
78.5,0.6667987609566326
79.,0.6840048422015077
79.5,0.7377717460886528
80.,0.8149354593601633
80.5,0.8966036138285924
81.,0.9627809970036083
81.5,0.9972650774670395
82.,0.9916129496470891
82.5,0.9472084515589281
83.,0.874923352995552
83.5,0.7924555671162195
84.,0.719996084068774
84.5,0.6752855124160468
85.,0.6692705594343269
85.5,0.703423895392358
86.,0.769383592508381
86.5,0.8510004165035334
87.,0.9282917223775561
87.5,0.9823339028239554
88.,0.9998955472825206
88.5,0.9766769527060307
89.,0.9183628408236078
89.5,0.8392305399998184
90.,0.7586543973118007
90.5,0.6963622626808004
91.,0.6676054231786324
91.5,0.6794245560452664
92.,0.7289259253482809
92.5,0.8039898694616895
93.,0.8862381169199544
93.5,0.9555334282373849
94.,0.9949098944449994
94.5,0.9947267833129063
95.,0.9550289268324668
95.5,0.8855357447812371
96.,0.8032615917848149
96.5,0.7283500499081199
97.,0.6791420772339289
97.5,0.6676855016609269
98.,0.6967852924514261
98.5,0.7593168059292292
99.,0.8399701467321958
99.5,0.9189985641481608
100.,0.9770531453812827
