"t","valor esperado de Haar de la pureza de Choi"
0.,0.9999999999999998
0.5,0.9759729501637135
1.,0.9102323700142333
1.5,0.8194864944122441
2.,0.724966467139832
2.5,0.6456862256121834
3.,0.5934989687958352
3.5,0.571387812242758
4.,0.5747799480010305
4.5,0.594560783972753
5.,0.6202771563175865
5.5,0.6425525871870952
6.,0.6544900246369438
6.5,0.6523500017117357
7.,0.6358631494660547
7.5,0.608267893983045
8.,0.575855634232544
8.5,0.5467423762162756
9.,0.5288530547180881
9.5,0.527549296847045
10.,0.5436816394321056
10.5,0.5728797802038256
11.,0.6065379415471073
11.5,0.6343150620466538
12.,0.6473153534204494
12.5,0.6407721346377822
13.,0.6152450520739521
13.5,0.5759959779002113
14.,0.5309844640745686
14.5,0.4884019619957328
15.,0.4546410870533046
15.5,0.4331953518823307
16.,0.4245152555464335
16.5,0.42655513704900533
17.,0.43567945964786237
17.5,0.4476581391506556
18.,0.458560720553218
18.5,0.4654232306398048
19.,0.4666240405015545
19.5,0.4619710297633631
20.,0.45254841589115885
20.5,0.44037884642571534
21.,0.4279421736127077
21.5,0.4175979601242248
22.,0.41100469266965045
22.5,0.40868645195126624
23.,0.40990784472944697
23.5,0.41293934119477155
24.,0.4156464094209159
24.5,0.41619350591602017
25.,0.41360323530228593
25.5,0.4079826310648499
26.,0.4003754462029193
26.5,0.39233713478081916
27.,0.385402349023783
27.5,0.3806226361111102
28.,0.3783169740061885
28.5,0.3781071922494276
29.,0.37920409178158976
29.5,0.3807979301125851
30.,0.3823545718897144
30.5,0.383677993110212
31.,0.3847497192537187
31.5,0.38549931005944393
32.,0.3856937582563311
32.5,0.38503181780516826
33.,0.3833680786150109
33.5,0.3808909297036901
34.,0.3781094970598013
34.5,0.3756390853737701
35.,0.3739130133700349
35.5,0.3729968701755055
36.,0.37261394928532465
36.5,0.37235928300570786
37.,0.37196916546755976
37.5,0.3714863949129656
38.,0.3712277625559454
38.5,0.37157668120981235
39.,0.3727232815192117
39.5,0.37450289526618763
40.,0.3764284542532774
40.5,0.37790479024680734
41.,0.3785113606004701
41.5,0.37820033186686497
42.,0.37730452242182927
42.5,0.37636061868086074
43.,0.3758598982594874
43.5,0.37607015532309274
44.,0.3770076709125709
44.5,0.3785280420829057
45.,0.38043457551240806
45.5,0.38252172419292324
46.,0.3845517358309489
46.5,0.3862297078862571
47.,0.3872403016626052
47.5,0.38734920168676884
48.,0.3865124360737977
48.5,0.3849244697722478
49.,0.3829714182866471
49.5,0.3811060001957066
50.,0.37969708412366354
50.5,0.3789182287803077
51.,0.3787241938449344
51.5,0.3789238089200398
52.,0.37930756779022334
52.5,0.37975931827108067
53.,0.380296236550217
53.5,0.3810307832592966
54.,0.3820951721362816
54.5,0.38357905255359315
55.,0.38550317362231756
55.5,0.3878157889465418
56.,0.39038692120988355
56.5,0.392994600912611
57.,0.3953245989401437
57.5,0.3970130566888565
58.,0.39774018102276887
58.5,0.397346715048801
59.,0.39591819166225806
59.5,0.3937851621399549
60.,0.3914250668046686
60.5,0.3893062825215954
61.,0.3877527046743457
61.5,0.3868965075300673
62.,0.3867280779624028
62.5,0.38718695984468265
63.,0.3882175710641114
63.5,0.3897538286128361
64.,0.39166220594133794
64.5,0.39370993004112254
65.,0.39560808255630986
65.5,0.39712403643854205
66.,0.398202043453454
66.5,0.39900991880525255
67.,0.39986050351570507
67.5,0.40102852232211716
68.,0.40255652995690416
68.5,0.4041663312998541
69.,0.40533980569136513
69.5,0.40553416410337995
70.,0.40441717815147604
70.5,0.40200088304055304
71.,0.3986185037553638
71.5,0.3947811277558445
72.,0.3910092961664496
72.5,0.38772895891512454
73.,0.3852620165138819
73.5,0.383870901372674
74.,0.3837810017819915
74.5,0.38512753780190007
75.,0.38783936173209727
75.5,0.391535240070784
76.,0.3955224437235937
76.5,0.3989395705716601
77.,0.4010048982487747
77.5,0.4012687773096475
78.,0.39975978636726084
78.5,0.39696090661159933
79.,0.3936266686942617
79.5,0.39051922913186315
80.,0.38817169241042826
80.5,0.38676746752036895
81.,0.38616445295300383
81.5,0.38602444555429627
82.,0.38596952202789325
82.5,0.38569648102689497
83.,0.3850236801970251
83.5,0.3838887660913265
84.,0.3823343908223824
84.5,0.3805072658514087
85.,0.3786681955122537
85.5,0.377187892258495
86.,0.3764999263062115
86.5,0.37699972700677065
87.,0.3789075221351143
87.5,0.38213946688504086
88.,0.3862427409152686
88.5,0.3904397825472325
89.,0.39379378685023836
89.5,0.3954607188833267
90.,0.39494975876667987
90.5,0.3922958948186054
91.,0.3880708882413901
91.5,0.3832189385731204
92.,0.3787748316294382
92.5,0.37556879782805286
93.,0.3740209248233407
93.5,0.3740834563287736
94.,0.3753272626597769
94.5,0.37711811532010925
95.,0.3788081763833757
95.5,0.37988230101420917
96.,0.38003555545248785
96.5,0.37919492579826475
97.,0.377513356356697
97.5,0.37535276799763234
98.,0.37324845953955016
98.5,0.3718318399927271
99.,0.3716956555208768
99.5,0.3732150222209819
100.,0.3763753184286588
