"L=11;{hx,hz,J}={1.,0.5,ConstantArray[1.,L-1]};SeedRandom[32371];ψ0E=Table[RandomChainProductState[L-1],3];Superoperator[t,ψ0E[[3]],eigenvalsH,eigenvecsH,L];"
"{0.9999999999999685, 0, 0, 0}","{0, 0.999999999999986, 0, 0}","{0, 0, 0.999999999999986, 0}","{0, 0, 0, 1.0000000000000036}"
"{0.9900831711516953, 0.00776175062962753 + 0.09832558718831952*I, 0.00776175062962753 - 0.09832558718831952*I, 0.009916885172748939}","{0.007167198086279737 + 0.0983554305570456*I, 0.9603669938412349 - 0.1472053651841036*I, 0.00991663680407183 + 0.00006152381566445944*I, -0.007134928466011758 - 0.0983570692479263*I}","{0.007167198086279737 - 0.0983554305570456*I, 0.00991663680407183 - 0.00006152381566445944*I, 0.9603669938412349 + 0.1472053651841036*I, -0.007134928466011758 + 0.0983570692479263*I}","{0.009916828848277312, -0.007761750629624262 - 0.09832558718831878*I, -0.007761750629624262 + 0.09832558718831878*I, 0.9900831148272566}"
"{0.9612653739599439, 0.02746989022164055 + 0.18723109942966715*I, 0.02746989022164055 - 0.18723109942966715*I, 0.03873751959430714}","{0.02290025853717944 + 0.18769532409192446*I, 0.8541881016876747 - 0.23691313821078877*I, 0.03872236576106643 + 0.0009805055964885673*I, -0.0225223844560067 - 0.18773493197049013*I}","{0.02290025853717944 - 0.18769532409192446*I, 0.03872236576106643 - 0.0009805055964885673*I, 0.8541881016876747 + 0.23691313821078877*I, -0.0225223844560067 + 0.18773493197049013*I}","{0.03873462604003318, -0.027469890221637205 - 0.18723109942966648*I, -0.027469890221637205 + 0.18723109942966648*I, 0.9612624804056961}"
"{0.9160360161108427, 0.0526081205497962 + 0.25946752207282814*I, 0.0526081205497962 - 0.25946752207282814*I, 0.08398799571632828}","{0.038399102795920216 + 0.2616771973224759*I, 0.7058838873060853 - 0.2597354821774982*I, 0.08382700448884431 + 0.004749665001929845*I, -0.03724076024627743 - 0.2618717085285994*I}","{0.038399102795920216 - 0.2616771973224759*I, 0.08382700448884431 - 0.004749665001929845*I, 0.7058838873060853 + 0.2597354821774982*I, -0.03724076024627743 + 0.2618717085285994*I}","{0.08396398388913684, -0.052608120549792504 - 0.259467522072826*I, -0.052608120549792504 + 0.259467522072826*I, 0.9160120042836709}"
"{0.8578404581751677, 0.07620541228883126 + 0.31071260150036945*I, 0.07620541228883126 - 0.31071260150036945*I, 0.14224365877929934}","{0.04649157834172629 + 0.31705781991929505*I, 0.5420759707414288 - 0.22039577018848516*I, 0.14141790381584132 + 0.013786039536499484*I, -0.04509731818260554 - 0.31744045262737847*I}","{0.04649157834172629 - 0.31705781991929505*I, 0.14141790381584132 - 0.013786039536499484*I, 0.5420759707414288 + 0.22039577018848516*I, -0.04509731818260554 + 0.31744045262737847*I}","{0.1421595418248117, -0.0762054122888265 - 0.3107126015003656*I, -0.0762054122888265 + 0.3107126015003656*I, 0.8577563412206974}"
"{0.7905002312936221, 0.09215928981793638 + 0.33960291220200745*I, 0.09215928981793638 - 0.33960291220200745*I, 0.20964058485336723}","{0.043265183599749166 + 0.3531820011357947*I, 0.38596483022359396 - 0.1350303577928546*I, 0.20682299425067677 + 0.02963691910074251*I, -0.04448262388665327 - 0.35318440083631225*I}","{0.043265183599749166 - 0.3531820011357947*I, 0.20682299425067677 - 0.02963691910074251*I, 0.38596483022359396 + 0.1350303577928546*I, -0.04448262388665327 + 0.35318440083631225*I}","{0.2094997687063566, -0.09215928981793098 - 0.3396029122020046*I, -0.09215928981793098 + 0.3396029122020046*I, 0.7903594151466311}"
"{0.7177892381992715, 0.09628337056398482 + 0.3472555408393721*I, 0.09628337056398482 - 0.3472555408393721*I, 0.282174058769847}","{0.028632807337739985 + 0.37099997586186667*I, 0.25357256655971827 - 0.026081136939680893*I, 0.27478756113903424 + 0.0518250162830836*I, -0.037951404189041374 - 0.3687835108185047*I}","{0.028632807337739985 - 0.37099997586186667*I, 0.27478756113903424 - 0.0518250162830836*I, 0.25357256655971827 + 0.026081136939680893*I, -0.037951404189041374 + 0.3687835108185047*I}","{0.28221076180070764, -0.09628337056398045 - 0.34725554083937255*I, -0.09628337056398045 + 0.34725554083937255*I, 0.7178259412301524}"
"{0.6432193008976117, 0.08688107004485243 + 0.33651412461218827*I, 0.08688107004485243 - 0.33651412461218827*I, 0.3558076729617185}","{0.005850738743176223 + 0.3720232614287912*I, 0.1525238965499095 + 0.08341031421621606*I, 0.3397181847866181 + 0.07743166109777985*I, -0.029856120891316465 - 0.36420196456552795*I}","{0.005850738743176223 - 0.3720232614287912*I, 0.3397181847866181 - 0.07743166109777985*I, 0.1525238965499095 - 0.08341031421621606*I, -0.029856120891316465 + 0.36420196456552795*I}","{0.3567806991023701, -0.0868810700448516 - 0.33651412461219177*I, -0.0868810700448516 + 0.33651412461219177*I, 0.6441923270382767}"
"{0.570011407672149, 0.06478316405924389 + 0.3111651915397646*I, 0.06478316405924389 - 0.3111651915397646*I, 0.42653824501410875}","{-0.019665745589700953 + 0.357554468852844*I, 0.08308062405014555 + 0.17442877959009187*I, 0.3959784189445776 + 0.10167797335220692*I, -0.023375415192338184 - 0.33991935312068533*I}","{-0.019665745589700953 - 0.357554468852844*I, 0.3959784189445776 - 0.10167797335220692*I, 0.08308062405014555 - 0.17442877959009187*I, -0.023375415192338184 + 0.33991935312068533*I}","{0.42998859232783637, -0.06478316405924657 - 0.31116519153976674*I, -0.06478316405924657 + 0.31116519153976674*I, 0.5734617549858765}"
"{0.5011789018910464, 0.03291873933426153 + 0.2752981874143024*I, 0.03291873933426153 - 0.2752981874143024*I, 0.4905845519170223}","{-0.04177053784976467 + 0.32834775490883444*I, 0.040500112723865 + 0.23461709522373825*I, 0.43829880780112646 + 0.11926740788567997*I, -0.018583170801454246 - 0.2978563323374996*I}","{-0.04177053784976467 - 0.32834775490883444*I, 0.43829880780112646 - 0.11926740788567997*I, 0.040500112723865 - 0.23461709522373825*I, -0.018583170801454246 + 0.2978563323374996*I}","{0.49882109810894176, -0.0329187393342651 - 0.27529818741430045*I, -0.0329187393342651 + 0.27529818741430045*I, 0.5094154480829535}"
"{0.439636109426821, -0.004421861420022259 + 0.23287660343904384*I, -0.004421861420022259 - 0.23287660343904384*I, 0.5447758534880037}","{-0.05491053956204364 + 0.28467962616895803*I, 0.017686700817712772 + 0.25891433942091213*I, 0.4623014044492006 + 0.12588182255816094*I, -0.012607426472650285 - 0.2423089355448408*I}","{-0.05491053956204364 - 0.28467962616895803*I, 0.4623014044492006 - 0.12588182255816094*I, 0.017686700817712772 - 0.25891433942091213*I, -0.012607426472650285 + 0.2423089355448408*I}","{0.5603638905731692, 0.0044218614200208645 - 0.23287660343903877*I, 0.0044218614200208645 + 0.23287660343903877*I, 0.4552241465119691}"
