hz,J,promedio temporal de 0 a 100 del valor esperado de Haar de la pureza de Choi
0.,0.,1.
0.,0.1,0.474227
0.,0.2,0.444263
0.,0.3,0.453068
0.,0.4,0.448784
0.,0.5,0.438063
0.,0.6,0.434847
0.,0.7,0.434485
0.,0.8,0.429543
0.,0.9,0.427275
0.,1.,0.422978
0.,1.1,0.423618
0.,1.2,0.420112
0.,1.3,0.419742
0.,1.4,0.42218
0.,1.5,0.42043
0.,1.6,0.422659
0.,1.7,0.426516
0.,1.8,0.434236
0.,1.9,0.427705
0.,2.,0.435987
0.,2.1,0.44939
0.,2.2,0.437755
0.,2.3,0.423223
0.,2.4,0.422319
0.,2.5,0.436359
0.,2.6,0.45795
0.,2.7,0.493571
0.,2.8,0.500008
0.,2.9,0.517942
0.,3.,0.531105
0.1,0.,1.
0.1,0.1,0.474484
0.1,0.2,0.442525
0.1,0.3,0.444037
0.1,0.4,0.434251
0.1,0.5,0.38729
0.1,0.6,0.348993
0.1,0.7,0.3301
0.1,0.8,0.316741
0.1,0.9,0.313316
0.1,1.,0.310024
0.1,1.1,0.306977
0.1,1.2,0.305323
0.1,1.3,0.305522
0.1,1.4,0.307131
0.1,1.5,0.310903
0.1,1.6,0.315624
0.1,1.7,0.327574
0.1,1.8,0.337745
0.1,1.9,0.338105
0.1,2.,0.344174
0.1,2.1,0.355178
0.1,2.2,0.366872
0.1,2.3,0.38126
0.1,2.4,0.398542
0.1,2.5,0.416755
0.1,2.6,0.432817
0.1,2.7,0.448239
0.1,2.8,0.458886
0.1,2.9,0.469265
0.1,3.,0.476642
0.2,0.,1.
0.2,0.1,0.46584
0.2,0.2,0.417273
0.2,0.3,0.388587
0.2,0.4,0.364938
0.2,0.5,0.336146
0.2,0.6,0.316663
0.2,0.7,0.306581
0.2,0.8,0.300812
0.2,0.9,0.297787
0.2,1.,0.296538
0.2,1.1,0.295691
0.2,1.2,0.295202
0.2,1.3,0.296509
0.2,1.4,0.299381
0.2,1.5,0.306362
0.2,1.6,0.311809
0.2,1.7,0.320276
0.2,1.8,0.330595
0.2,1.9,0.334643
0.2,2.,0.344182
0.2,2.1,0.357212
0.2,2.2,0.372043
0.2,2.3,0.388901
0.2,2.4,0.406858
0.2,2.5,0.42379
0.2,2.6,0.439056
0.2,2.7,0.451682
0.2,2.8,0.462012
0.2,2.9,0.470808
0.2,3.,0.477055
0.3,0.,1.
0.3,0.1,0.432981
0.3,0.2,0.374577
0.3,0.3,0.349713
0.3,0.4,0.334409
0.3,0.5,0.318834
0.3,0.6,0.30858
0.3,0.7,0.302198
0.3,0.8,0.298836
0.3,0.9,0.295991
0.3,1.,0.29376
0.3,1.1,0.292797
0.3,1.2,0.292736
0.3,1.3,0.293713
0.3,1.4,0.297586
0.3,1.5,0.303333
0.3,1.6,0.308583
0.3,1.7,0.316682
0.3,1.8,0.326897
0.3,1.9,0.331308
0.3,2.,0.343328
0.3,2.1,0.35722
0.3,2.2,0.372636
0.3,2.3,0.390656
0.3,2.4,0.408902
0.3,2.5,0.426169
0.3,2.6,0.441036
0.3,2.7,0.452984
0.3,2.8,0.46282
0.3,2.9,0.471325
0.3,3.,0.477729
0.4,0.,1.
0.4,0.1,0.39582
0.4,0.2,0.350615
0.4,0.3,0.332752
0.4,0.4,0.324311
0.4,0.5,0.315255
0.4,0.6,0.306216
0.4,0.7,0.30086
0.4,0.8,0.297903
0.4,0.9,0.295266
0.4,1.,0.293778
0.4,1.1,0.292948
0.4,1.2,0.292353
0.4,1.3,0.294229
0.4,1.4,0.298293
0.4,1.5,0.303409
0.4,1.6,0.309986
0.4,1.7,0.314328
0.4,1.8,0.32088
0.4,1.9,0.325442
0.4,2.,0.331507
0.4,2.1,0.345764
0.4,2.2,0.363441
0.4,2.3,0.375735
0.4,2.4,0.402207
0.4,2.5,0.422318
0.4,2.6,0.43954
0.4,2.7,0.452896
0.4,2.8,0.461423
