"hz","J","promedio temporal de 0 a 100 del valor esperado de Haar de la pureza de Choi"
"ϵ","Jxy",1.
"ϵ","Jxy",0.45859341563268613
"ϵ","Jxy",0.43187434633978555
"ϵ","Jxy",0.42227430101812297
"ϵ","Jxy",0.41940136791022326
"ϵ","Jxy",0.4165949415740603
"ϵ","Jxy",0.4182293945728134
"ϵ","Jxy",0.40954387095454314
"ϵ","Jxy",0.40699240210081594
"ϵ","Jxy",0.40537213344433864
"ϵ","Jxy",0.3985297890408849
"ϵ","Jxy",0.3987362469850764
"ϵ","Jxy",0.3963107137517444
"ϵ","Jxy",0.39602932233139193
"ϵ","Jxy",0.4004030408827604
"ϵ","Jxy",0.40563073504805164
"ϵ","Jxy",0.4108807129352688
"ϵ","Jxy",0.40317317337412617
"ϵ","Jxy",0.4212338315762047
"ϵ","Jxy",0.41292518934812017
"ϵ","Jxy",0.40086502653740785
"ϵ","Jxy",1.
"ϵ","Jxy",0.457706245253547
"ϵ","Jxy",0.42997923652069764
"ϵ","Jxy",0.4170982693062028
"ϵ","Jxy",0.4068720203762649
"ϵ","Jxy",0.3622668749580233
"ϵ","Jxy",0.3303206376532604
"ϵ","Jxy",0.3066226858002629
"ϵ","Jxy",0.303873597913833
"ϵ","Jxy",0.2942624771202687
"ϵ","Jxy",0.2888708071872829
"ϵ","Jxy",0.2874551425601817
"ϵ","Jxy",0.28615331032651214
"ϵ","Jxy",0.2862525592974068
"ϵ","Jxy",0.2908100049001545
"ϵ","Jxy",0.2979716044606624
"ϵ","Jxy",0.3097613994315041
"ϵ","Jxy",0.3167244210931193
"ϵ","Jxy",0.330149165900318
"ϵ","Jxy",0.34837743789051856
"ϵ","Jxy",0.36866782862786324
"ϵ","Jxy",1.
"ϵ","Jxy",0.4448926925237825
"ϵ","Jxy",0.4033612838173862
"ϵ","Jxy",0.3730726675635669
"ϵ","Jxy",0.3493900735883495
"ϵ","Jxy",0.3176590398698876
"ϵ","Jxy",0.2985326088694043
"ϵ","Jxy",0.2896093614978405
"ϵ","Jxy",0.28619513017161774
