hz,promedio temporal de 0 a 100 del valor esperado de Haar de la pureza de Choi
0.1,0.320926
0.1,0.316331
0.1,0.316672
0.1,0.324244
0.1,0.324563
0.1,0.324264
0.1,0.319339
0.1,0.320134
0.1,0.32059
0.1,0.323959
0.225641,0.305765
0.225641,0.309925
0.225641,0.309024
0.225641,0.312424
0.225641,0.307107
0.225641,0.308803
0.225641,0.314065
0.225641,0.313803
0.225641,0.315053
0.225641,0.308136
0.351282,0.307474
0.351282,0.305924
0.351282,0.308305
0.351282,0.305916
0.351282,0.308094
0.351282,0.305331
0.351282,0.306646
0.351282,0.311069
0.351282,0.310348
0.351282,0.304513
0.476923,0.313155
0.476923,0.310116
0.476923,0.304682
0.476923,0.306025
0.476923,0.306623
0.476923,0.312714
0.476923,0.309483
0.476923,0.311518
0.476923,0.305453
0.476923,0.309499
0.602564,0.311198
0.602564,0.308741
0.602564,0.3073
0.602564,0.30905
0.602564,0.31285
0.602564,0.316354
0.602564,0.310243
0.602564,0.308185
0.602564,0.307436
0.602564,0.327526
0.728205,0.308681
0.728205,0.308718
0.728205,0.318592
0.728205,0.312217
0.728205,0.316796
0.728205,0.311611
0.728205,0.316537
0.728205,0.315396
0.728205,0.312238
0.728205,0.306076
0.853846,0.341022
0.853846,0.318942
0.853846,0.314856
0.853846,0.328598
0.853846,0.310137
0.853846,0.332068
0.853846,0.3207
0.853846,0.33651
0.853846,0.317755
0.853846,0.335983
0.979487,0.352903
0.979487,0.32832
0.979487,0.316232
0.979487,0.354661
0.979487,0.321994
0.979487,0.307116
0.979487,0.341276
0.979487,0.350065
0.979487,0.317303
0.979487,0.330275
1.10513,0.399797
1.10513,0.3125
1.10513,0.328762
1.10513,0.400594
1.10513,0.318921
1.10513,0.337167
1.10513,0.345697
1.10513,0.378081
1.10513,0.34807
1.10513,0.343599
1.23077,0.375357
1.23077,0.346931
1.23077,0.334768
1.23077,0.368025
1.23077,0.35418
1.23077,0.34343
1.23077,0.330074
