"L=11;{hx,hz,J}={1.,0.5,ConstantArray[1.,L-1]};SeedRandom[32371];ψ0E=Table[RandomChainProductState[L-1],3];Superoperator[t,ψ0E[[2]],eigenvalsH,eigenvecsH,L];"
"{0.9999999999999892, 0, 0, 0}","{0, 0.9999999999999807, 0, 0}","{0, 0, 0.9999999999999807, 0}","{0, 0, 0, 0.9999999999999722}"
"{0.9900818943808233, 0.007400653601537356 + 0.09834989972787501*I, 0.007400653601537356 - 0.09834989972787501*I, 0.009918118241685352}","{0.006765348657863703 + 0.09838177517854707*I, 0.9611132795159077 - 0.139779452561682*I, 0.009917891962209836 + 0.00006424357803012022*I, -0.006760612655070503 - 0.09838205930604796*I}","{0.006765348657863703 - 0.09838177517854707*I, 0.009917891962209836 - 0.00006424357803012022*I, 0.9611132795159077 + 0.139779452561682*I, -0.006760612655070503 + 0.09838205930604796*I}","{0.009918105619164832, -0.007400653601531864 - 0.09834989972787858*I, -0.007400653601531864 + 0.09834989972787858*I, 0.990081881758295}"
"{0.9612424742263883, 0.025976822473738653 + 0.18743287725585367*I, 0.025976822473738653 - 0.18743287725585367*I, 0.0387571071501873}","{0.02101524715940282 + 0.18793588113438664*I, 0.8572506965947722 - 0.22189490744875628*I, 0.038743668274874646 + 0.0010065645479404716*I, -0.021169563508246197 - 0.18792346294699938*I}","{0.02101524715940282 - 0.18793588113438664*I, 0.038743668274874646 - 0.0010065645479404716*I, 0.8572506965947722 + 0.22189490744875628*I, -0.021169563508246197 + 0.18792346294699938*I}","{0.03875752577359754, -0.025976822473732744 - 0.18743287725585883*I, -0.025976822473732744 + 0.18743287725585883*I, 0.9612428928497961}"
"{0.9159095561438655, 0.04931819381587327 + 0.2601309904757106*I, 0.04931819381587327 - 0.2601309904757106*I, 0.08407201241920989}","{0.033566545358678576 + 0.2625662857248676*I, 0.7122165585873679 - 0.23949231048879083*I, 0.08393368042790843 + 0.004760045307000487*I, -0.03544101209293656 - 0.26231607895835113*I}","{0.033566545358678576 - 0.2625662857248676*I, 0.08393368042790843 - 0.004760045307000487*I, 0.7122165585873679 + 0.23949231048879083*I, -0.03544101209293656 + 0.26231607895835113*I}","{0.08409044385611912, -0.049318193815867786 - 0.26013099047571864*I, -0.049318193815867786 + 0.26013099047571864*I, 0.9159279875807718}"
"{0.8574165993633746, 0.07083430571347815 + 0.3121317519481145*I, 0.07083430571347815 - 0.3121317519481145*I, 0.142410217149821}","{0.0369449940414693 + 0.3192723342151269*I, 0.5509341623061783 - 0.19968178179217494*I, 0.14172665625470315 + 0.01338004360280243*I, -0.04575049140881138 - 0.3176512828461441*I}","{0.0369449940414693 - 0.3192723342151269*I, 0.14172665625470315 - 0.01338004360280243*I, 0.5509341623061783 + 0.19968178179217494*I, -0.04575049140881138 + 0.3176512828461441*I}","{0.14258340063661207, -0.07083430571347377 - 0.312131751948124*I, -0.07083430571347377 + 0.312131751948124*I, 0.8575897828501569}"
"{0.7894319565610983, 0.08504833879417581 + 0.3418645136186165*I, 0.08504833879417581 - 0.3418645136186165*I, 0.20968643137527848}","{0.026970589115188473 + 0.3575576429423477*I, 0.3941175895011474 - 0.11976723050094289*I, 0.20745551397285186 + 0.027568560374581396*I, -0.05347774777274833 - 0.3512976038925301*I}","{0.026970589115188473 - 0.3575576429423477*I, 0.20745551397285186 - 0.027568560374581396*I, 0.3941175895011474 + 0.11976723050094289*I, -0.05347774777274833 + 0.3512976038925301*I}","{0.2105680434388903, -0.08504833879417278 - 0.3418645136186253*I, -0.08504833879417278 + 0.3418645136186253*I, 0.7903135686246963}"
"{0.7155568270157873, 0.08853335960246472 + 0.3499834824515419*I, 0.08853335960246472 - 0.3499834824515419*I, 0.2813208358117696}","{0.0031779108156834712 + 0.37840797272013527*I, 0.25522726423188924 - 0.021440615108402672*I, 0.2757775146373621 + 0.04552533332454369*I, -0.0636761622657247 - 0.36081075610528845*I}","{0.0031779108156834712 - 0.37840797272013527*I, 0.2757775146373621 - 0.04552533332454369*I, 0.25522726423188924 + 0.021440615108402672*I, -0.0636761622657247 + 0.36081075610528845*I}","{0.2844431729842025, -0.0885333596024627 - 0.34998348245154876*I, -0.0885333596024627 + 0.34998348245154876*I, 0.7186791641882048}"
"{0.6391331052067526, 0.08032202148735199 + 0.33866084954052045*I, 0.08032202148735199 - 0.33866084954052045*I, 0.35223381903867734}","{-0.031851101360390224 + 0.3832856447623578*I, 0.1401547019677648 + 0.07499760025721275*I, 0.3409171209638775 + 0.062785920439401*I, -0.0815338400946379 - 0.3436964525618658*I}","{-0.031851101360390224 - 0.3832856447623578*I, 0.3409171209638775 - 0.062785920439401*I, 0.1401547019677648 - 0.07499760025721275*I, -0.0815338400946379 + 0.3436964525618658*I}","{0.36086689479323714, -0.08032202148734999 - 0.33866084954052533*I, -0.08032202148734999 + 0.33866084954052533*I, 0.6477661809612993}"
"{0.563220062712433, 0.0617694125307436 + 0.3109352671034219*I, 0.0617694125307436 - 0.3109352671034219*I, 0.41691187380548866}","{-0.07379473046808285 + 0.37348900027517606*I, 0.0490735846344279 + 0.15466833824628617*I, 0.3970304284203288 + 0.07328222018166336*I, -0.10857352682560678 - 0.2983584989011943*I}","{-0.07379473046808285 - 0.37348900027517606*I, 0.3970304284203288 - 0.07328222018166336*I, 0.0490735846344279 - 0.15466833824628617*I, -0.10857352682560678 + 0.2983584989011943*I}","{0.4367799372875574, -0.06176941253074063 - 0.310935267103425*I, -0.06176941253074063 + 0.310935267103425*I, 0.5830881261944934}"
"{0.4906495401844286, 0.03598225230515417 + 0.2702598199661234*I, 0.03598225230515417 - 0.2702598199661234*I, 0.4697578779765769}","{-0.11794883900624015 + 0.3500095733937898*I, -0.020747592878533574 + 0.20960212228397634*I, 0.4387392315635341 + 0.0712993245668476*I, -0.140478373637625 - 0.22588201036864786*I}","{-0.11794883900624015 - 0.3500095733937898*I, 0.4387392315635341 - 0.0712993245668476*I, -0.020747592878533574 - 0.20960212228397634*I, -0.140478373637625 + 0.22588201036864786*I}","{0.5093504598155618, -0.03598225230514915 - 0.2702598199661247*I, -0.03598225230514915 + 0.2702598199661247*I, 0.5302421220234119}"
"{0.4240664095270319, 0.007008727881646443 + 0.22026504091037452*I, 0.007008727881646443 - 0.22026504091037452*I, 0.5058102880852153}","{-0.16016246100849982 + 0.31379021239290994*I, -0.0724429862943246 + 0.23795993751806035*I, 0.461780815550497 + 0.05357461512740268*I, -0.16767422344116695 - 0.131766634705404*I}","{-0.16016246100849982 - 0.31379021239290994*I, 0.461780815550497 - 0.05357461512740268*I, -0.0724429862943246 - 0.23795993751806035*I, -0.16767422344116695 + 0.131766634705404*I}","{0.5759335904729574, -0.00700872788163856 - 0.22026504091037413*I, -0.00700872788163856 + 0.22026504091037413*I, 0.49418971191477945}"
